userid,key,summary,agent1,agent2,selected,value,time,correct,betterAgent,worseAgent,comparisonType
cdd404e4,correct,max,2000,400,2000,TRUE,1.50818E+12,1,2000,400,2
b2a40232,correct,maxdiv,400,2000,400,FALSE,1.50818E+12,0,2000,400,2
50a40474,correct,max,2000,400,2000,TRUE,1.50818E+12,1,2000,400,2
cdd404e4,correct,random,200,2000,200,FALSE,1.50818E+12,0,2000,200,3
50a40474,correct,max,200,400,200,FALSE,1.50818E+12,0,400,200,1
cdd404e4,correct,maxdiv,2000,400,400,FALSE,1.50818E+12,0,2000,400,2
50a40474,correct,random,400,2000,2000,TRUE,1.50818E+12,1,2000,400,2
cdd404e4,correct,random,400,200,200,FALSE,1.50818E+12,0,400,200,1
b2a40232,correct,random,400,200,200,FALSE,1.50818E+12,0,400,200,1
50a40474,correct,random,200,400,200,FALSE,1.50818E+12,0,400,200,1
cdd404e4,correct,maxdiv,400,200,200,FALSE,1.50818E+12,0,400,200,1
50a40474,correct,max,200,2000,2000,TRUE,1.50818E+12,1,2000,200,3
cdd404e4,correct,max,2000,200,200,FALSE,1.50818E+12,0,2000,200,3
cdd404e4,correct,max,400,200,400,TRUE,1.50818E+12,1,400,200,1
cdd404e4,correct,maxdiv,200,2000,200,FALSE,1.50818E+12,0,2000,200,3
cdd404e4,correct,random,400,2000,2000,TRUE,1.50818E+12,1,2000,400,2
3de40617,correct,maxdiv,400,2000,400,FALSE,1.50818E+12,0,2000,400,2
3de40617,correct,maxdiv,2000,200,2000,TRUE,1.50818E+12,1,2000,200,3
3de40617,correct,max,200,2000,2000,TRUE,1.50818E+12,1,2000,200,3
2ee4067a,correct,random,200,400,400,TRUE,1.50818E+12,1,400,200,1
b2a40232,correct,max,2000,400,2000,TRUE,1.50818E+12,1,2000,400,2
32d4068d,correct,maxdiv,200,400,400,TRUE,1.50818E+12,1,400,200,1
3de40617,correct,random,200,2000,2000,TRUE,1.50818E+12,1,2000,200,3
b2a40232,correct,maxdiv,200,400,400,TRUE,1.50818E+12,1,400,200,1
3de40617,correct,maxdiv,200,400,400,TRUE,1.50818E+12,1,400,200,1
8ba40679,correct,random,200,400,400,TRUE,1.50818E+12,1,400,200,1
32d4068d,correct,maxdiv,2000,400,400,FALSE,1.50818E+12,0,2000,400,2
3de40617,correct,random,400,2000,400,FALSE,1.50818E+12,0,2000,400,2
b2a40232,correct,max,400,200,200,FALSE,1.50818E+12,0,400,200,1
2ee4067a,correct,maxdiv,400,2000,2000,TRUE,1.50818E+12,1,2000,400,2
8ba40679,correct,max,2000,400,2000,TRUE,1.50818E+12,1,2000,400,2
3de40617,correct,max,400,200,200,FALSE,1.50818E+12,0,400,200,1
32d4068d,correct,max,2000,400,2000,TRUE,1.50818E+12,1,2000,400,2
8ba40679,correct,random,2000,400,2000,TRUE,1.50818E+12,1,2000,400,2
2ee4067a,correct,max,200,2000,2000,TRUE,1.50818E+12,1,2000,200,3
3de40617,correct,max,2000,400,400,FALSE,1.50818E+12,0,2000,400,2
b2a40232,correct,random,400,2000,2000,TRUE,1.50818E+12,1,2000,400,2
8ba40679,correct,random,2000,200,2000,TRUE,1.50818E+12,1,2000,200,3
32d4068d,correct,random,2000,400,2000,TRUE,1.50818E+12,1,2000,400,2
